id,created_at,text,source
667091571121250305,2015-11-18 21:26:39,"RT @Channel4News: Terrorists fired 5,000 rounds during raids in France this morning, French prosecutor François Molins says, five police of…",Twitter for Android
667066605642366977,2015-11-18 19:47:26,@Mutafail1n @Victory_Front1 @MaghrebiWTNSS @AbuIzzadeen2 ikhwa this khawarij fanboy is a hizbi ignore this munafiq pig,Twitter Web Client
667064473165946880,2015-11-18 19:38:58,"RT @Channel4News: Who were the six Muslims killed by Islamist militants in the #ParisAttacks?
https://t.co/siDdQ9cYTo",Twitter Web Client
667060493778046976,2015-11-18 19:23:09,"RT @MiddleEastEye: This is how you stop people joining the Islamic State group, according to CAGE https://t.co/H1x9qAOimV https://t.co/H4sw…",Twitter Web Client
667058204065550336,2015-11-18 19:14:03,@trust_N0on3 They threatened al shabab?,Twitter Web Client
667048434189209600,2015-11-18 18:35:14,"RT @Channel4News: Abdelhamid Abaaoud - named as ringleader of the Paris massacres - not among those arrested during Saint-Denis raids, Pari…",Twitter for Android
667024525297639424,2015-11-18 17:00:14,@laffin4j3zuz LOL Sky news's whore Kay Burley is mentally disabled posting whatever she likes,Twitter Web Client
667024101840723968,2015-11-18 16:58:33,@vicenews No they want to kill the Zionist bloodsuckers and wealth suckers of ordinary people mate,Twitter Web Client
667023441489494016,2015-11-18 16:55:55,@TheStudyofWar LOL Are you sure you want US troops to go back home in ashes? and cause more American deaths? come on be serious mate,Twitter Web Client
667023012118577152,2015-11-18 16:54:13,@laffin4j3zuz @SkyNewsBreak What was the first tweet?,Twitter Web Client
667022581069946880,2015-11-18 16:52:30,A shari'a court established jointly by the Jaysh al-Fath Syrian rebel coalition in Idlib city https://t.co/vooViDlHXy,Twitter Web Client
667021933972758528,2015-11-18 16:49:56,@Victory_Front1 Akhi please tweet this to the spiteful kafir Charlies Lister,Twitter Web Client
667021828079120384,2015-11-18 16:49:31,"RT @dread_muslem: Man doesn't pray his 5 salahs but wants to pray for France
Mans got an ugly profile pic and he wants to place an ugly fla…",Twitter Web Client
667021796898693120,2015-11-18 16:49:23,"@Victory_Front1 
LOL",Twitter Web Client
667019679597203456,2015-11-18 16:40:58,@Majstar7 Brother she said some very disturbing things she said they'd nuke all Muslims etc emotions got to me,Twitter Web Client
667017970389000192,2015-11-18 16:34:11,@SayfilA @SalafiMohandis na am la kin just the leadership needs to be replaced,Twitter Web Client
667017698187046912,2015-11-18 16:33:06,"RT @SalafiMohandis: No bureaucratic delays in #IslamicWelfareState construction of houses destructed by Russia in Ruqqa, #IslamicState http…",Twitter Web Client
667017423229423616,2015-11-18 16:32:00,RT @SalafiMohandis: 14A.If Shariah-》God's blessing-》more green products is a crime #IslamicState/ #IslamicWelfareState will continue it htt…,Twitter Web Client
667017359358599172,2015-11-18 16:31:45,RT @SalafiMohandis: 15A. If more business with no taxes+low service charges policy is a crime #IslamicState/ #IslamicWelfareState ... https…,Twitter Web Client
667017310914351106,2015-11-18 16:31:34,RT @SalafiMohandis: 15B....#IslamicState/ #IslamicWelfareState . will continue the crime of no taxes+low service charges policy. https://t.…,Twitter Web Client
667017168412909569,2015-11-18 16:31:00,"RT @SalafiMohandis: Under war #IslamicWelfareState still serving its Citizens Urban transport in Manbaj, #IslamicState https://t.co/Tl5Q8ot…",Twitter Web Client
667017012749729792,2015-11-18 16:30:23,"RT @SalafiMohandis: God willing; #IslamicWelfareState taking care the health of its Citizens,
Health Center in Riaz, #IslamicState https://…",Twitter Web Client
